SSN,GSN,DIS,RCP,NRF,IRS,INN,dis1,rcp1,typ1,irs1,lf1,dis2,rcp2,typ2,irs2,lf2,dis3,rcp3,typ3,irs3,lf3,dis4,rcp4,typ4,irs4,lf4,dis5,rcp5,typ5,irs5,lf5,NAN
10010089,1099,47,2,0.0,100,5,75,3,1,166,0.10416666666666667,206,1,1,395,0.14583333333333334,168,2,1,453,0.25,250,1,1,851,0.1875,250,2,1,999,0.3125,
10010089,1164,78,2,0.0,177,5,124,3,1,249,0.11428571428571428,236,2,1,392,0.22857142857142856,250,2,1,427,0.3,245,1,1,547,0.02857142857142857,250,3,1,749,0.32857142857142857,
10010042,513,250,1,0.2,824,5,159,2,1,293,0.18055555555555555,250,1,2,366,0.1736111111111111,250,1,1,778,0.11805555555555555,250,2,1,1707,0.25,250,0,0,2523,0.2777777777777778,
10010042,452,33,2,0.2,152,5,18,1,1,48,0.10714285714285714,250,1,2,366,0.26785714285714285,250,2,1,631,0.23214285714285715,250,1,1,1065,0.23214285714285715,250,2,1,1088,0.16071428571428573,
10010042,476,250,2,0.4,423,5,159,2,1,293,0.2,250,1,2,366,0.1,250,3,2,543,0.15,250,2,1,631,0.25,250,3,1,1145,0.3,
10010042,535,250,2,0.0,681,5,250,2,1,463,0.2076923076923077,250,3,1,571,0.15384615384615385,250,2,1,606,0.15384615384615385,250,3,1,631,0.16153846153846155,250,1,1,1533,0.3230769230769231,
10010045,1500,160,1,0.0,367,5,70,1,1,252,0.06818181818181818,238,2,1,442,0.26136363636363635,250,1,1,667,0.23863636363636365,250,2,1,1327,0.19318181818181818,250,0,0,2598,0.23863636363636365,
10010045,1505,79,1,0.0,251,5,70,1,1,252,0.1375,94,2,1,306,0.1875,250,2,1,1327,0.2375,250,1,1,1530,0.3375,250,0,0,2598,0.1,
10010045,1495,94,2,0.0,306,5,79,1,1,251,0.17045454545454544,250,2,1,526,0.26136363636363635,250,2,1,1327,0.22727272727272727,250,1,1,1530,0.1590909090909091,250,3,1,1594,0.18181818181818182,
10010045,1510,107,2,0.0,338,5,117,2,1,208,0.15306122448979592,115,2,1,290,0.061224489795918366,203,1,1,567,0.24489795918367346,250,1,1,667,0.20408163265306123,250,3,1,930,0.336734693877551,
10010045,1664,250,2,0.2,448,5,250,3,1,355,0.09259259259259259,149,2,1,530,0.2037037037037037,249,2,1,593,0.17592592592592593,24,1,2,1094,0.2222222222222222,250,3,1,1490,0.3055555555555556,
10010045,1689,149,2,0.4,530,5,250,3,1,355,0.20535714285714285,250,2,1,448,0.19642857142857142,24,1,2,1094,0.05357142857142857,250,2,1,1172,0.25,26,1,2,1532,0.29464285714285715,
10050130,151,52,1,0.2,276,5,37,2,1,126,0.18604651162790697,188,2,1,665,0.1744186046511628,250,1,1,1020,0.20930232558139536,5,1,0,1093,0.10465116279069768,250,0,0,2526,0.32558139534883723,
10050130,165,132,1,0.4,432,5,224,2,1,328,0.09821428571428571,158,1,2,864,0.08928571428571429,250,1,1,1020,0.13392857142857142,250,2,2,1068,0.3392857142857143,250,0,0,2526,0.3392857142857143,
10050130,16,108,2,0.6,253,5,2,1,0,214,0.08333333333333333,98,2,2,302,0.32142857142857145,141,2,1,356,0.21428571428571427,250,3,1,919,0.15476190476190477,4,1,0,1338,0.2261904761904762,
10050130,64,41,2,0.6,219,5,1,1,0,367,0.13513513513513514,4,2,2,395,0.17567567567567569,202,3,1,629,0.21621621621621623,242,2,1,709,0.17567567567567569,5,1,0,1093,0.2972972972972973,
10050130,108,19,2,0.2,77,5,8,2,1,32,0.10869565217391304,224,2,1,328,0.15217391304347827,216,3,1,437,0.13043478260869565,250,3,1,632,0.2608695652173913,158,1,2,864,0.34782608695652173,
10050130,254,22,2,0.4,81,5,126,2,1,331,0.21428571428571427,125,2,2,513,0.11904761904761904,250,3,1,643,0.19047619047619047,250,1,1,1020,0.23809523809523808,250,3,2,1701,0.23809523809523808,
10050130,1759,141,2,0.2,356,5,108,2,1,253,0.1935483870967742,250,3,1,919,0.15053763440860216,250,2,1,1094,0.23655913978494625,250,3,1,1165,0.1827956989247312,4,1,0,1338,0.23655913978494625,
10030021,990,52,1,0.0,241,5,41,1,1,109,0.11627906976744186,81,2,1,148,0.16279069767441862,94,1,1,158,0.011627906976744186,250,2,1,1061,0.36046511627906974,250,0,0,2153,0.3488372093023256,
10030021,1004,41,1,0.0,109,5,100,2,1,228,0.037037037037037035,52,1,1,241,0.18518518518518517,250,1,1,819,0.2962962962962963,250,2,1,1061,0.2222222222222222,250,0,0,2153,0.25925925925925924,
10030021,1011,248,1,0.0,467,5,94,1,1,158,0.059322033898305086,250,2,1,506,0.1864406779661017,250,1,1,521,0.17796610169491525,250,2,1,693,0.19491525423728814,250,0,0,2153,0.3813559322033898,
10030021,955,81,2,0.0,148,5,94,1,1,158,0.25862068965517243,70,2,1,205,0.15517241379310345,52,1,1,241,0.2413793103448276,250,3,1,843,0.1724137931034483,250,2,1,1061,0.1724137931034483,
10030021,1132,102,2,0.0,219,5,250,2,1,649,0.2948717948717949,250,1,1,728,0.11538461538461539,250,3,1,842,0.2564102564102564,250,3,1,914,0.1282051282051282,250,2,1,928,0.20512820512820512,
10010073,841,61,1,0.0,155,5,173,2,1,316,0.06060606060606061,250,1,1,942,0.2878787878787879,250,1,1,1105,0.06060606060606061,250,2,1,1158,0.3333333333333333,250,0,0,2516,0.25757575757575757,
10010073,848,226,2,0.0,523,5,250,1,1,719,0.12280701754385964,250,2,1,768,0.21929824561403508,250,3,1,795,0.24561403508771928,250,1,1,915,0.22807017543859648,250,2,1,1132,0.18421052631578946,
10010073,876,250,2,0.0,504,5,13,3,1,63,0.13793103448275862,250,3,1,625,0.10344827586206896,250,1,1,1105,0.1206896551724138,250,2,1,1158,0.3017241379310345,250,2,1,1242,0.33620689655172414,
10010073,931,250,2,0.0,677,5,250,3,1,322,0.13076923076923078,250,3,1,641,0.2076923076923077,250,2,1,924,0.17692307692307693,250,1,1,1105,0.2,250,2,1,1242,0.2846153846153846,
10010073,940,35,2,0.0,142,5,4,2,1,13,0.12121212121212122,63,3,1,183,0.06060606060606061,250,1,1,568,0.19696969696969696,250,3,1,854,0.30303030303030304,250,2,1,1131,0.3181818181818182,
10010073,954,36,2,0.0,90,5,127,1,1,373,0.13043478260869565,250,3,1,801,0.32608695652173914,250,2,1,924,0.2391304347826087,250,3,1,1036,0.15217391304347827,250,2,1,1211,0.15217391304347827,
10050108,377,211,1,0.2,441,5,1,1,0,198,0.11764705882352941,223,1,1,506,0.18627450980392157,250,2,1,745,0.27450980392156865,250,2,1,773,0.20588235294117646,250,0,0,2593,0.21568627450980393,
10050108,504,93,1,0.2,265,5,46,1,1,212,0.14285714285714285,202,2,1,403,0.13095238095238096,84,1,2,533,0.21428571428571427,223,2,1,551,0.20238095238095238,250,0,0,2593,0.30952380952380953,
10050108,386,144,2,0.0,278,5,64,3,1,370,0.10638297872340426,250,1,1,1346,0.09574468085106383,250,2,1,1365,0.3191489361702128,250,3,1,1670,0.1276595744680851,250,2,1,1853,0.35106382978723405,
10030019,696,29,1,0.0,140,5,6,1,0,35,0.1,202,2,1,528,0.13333333333333333,250,2,1,1056,0.25,250,1,1,2049,0.15,250,0,0,2885,0.36666666666666664,
10030019,722,86,1,0.2,251,5,250,2,1,499,0.1875,188,1,1,527,0.225,176,2,2,569,0.275,250,1,1,703,0.1625,250,0,0,2885,0.15,
10030019,749,188,1,0.2,527,5,86,1,1,251,0.16363636363636364,250,2,2,448,0.12727272727272726,250,2,1,499,0.16363636363636364,250,1,1,943,0.22727272727272727,250,0,0,2885,0.3181818181818182,
10030019,593,229,2,0.0,491,5,250,3,1,319,0.09259259259259259,250,1,1,667,0.1388888888888889,250,2,1,889,0.19444444444444445,250,3,1,958,0.25,250,2,1,1426,0.32407407407407407,
10030019,852,65,2,0.2,159,5,250,3,1,443,0.1774193548387097,250,2,1,635,0.1774193548387097,250,3,2,643,0.1774193548387097,250,2,1,646,0.20967741935483872,250,1,1,1277,0.25806451612903225,
10010087,732,51,1,0.6,237,5,1,1,0,248,0.08974358974358974,1,1,0,337,0.0641025641025641,33,2,2,348,0.11538461538461539,250,2,1,2036,0.3974358974358974,250,0,0,2456,0.3333333333333333,
10010087,744,90,1,0.2,235,5,16,2,1,101,0.08333333333333333,68,1,1,323,0.3333333333333333,1,1,0,335,0.21428571428571427,250,2,1,1553,0.27380952380952384,250,0,0,2456,0.09523809523809523,
10010087,746,68,1,0.2,323,5,16,2,1,101,0.07608695652173914,90,1,1,235,0.30434782608695654,1,1,0,337,0.16304347826086957,250,2,1,783,0.1956521739130435,250,0,0,2456,0.2608695652173913,
10010087,588,226,2,0.0,272,5,169,1,1,465,0.06976744186046512,250,3,1,781,0.29069767441860467,250,2,1,1171,0.3023255813953488,250,3,1,1301,0.10465116279069768,250,2,1,1365,0.23255813953488372,
10010087,674,250,2,0.2,570,5,72,2,1,161,0.15,50,1,1,243,0.11666666666666667,1,1,0,252,0.23333333333333334,196,3,1,410,0.16666666666666666,250,3,1,1545,0.3333333333333333,
10010087,717,42,2,0.4,167,5,1,1,0,335,0.3181818181818182,1,1,0,457,0.10606060606060606,250,3,1,1263,0.3333333333333333,250,2,1,1365,0.10606060606060606,250,2,1,1553,0.13636363636363635,
10030026,850,186,1,0.2,533,5,150,1,1,367,0.10655737704918032,250,2,1,419,0.1885245901639344,250,2,1,888,0.29508196721311475,116,1,2,971,0.13114754098360656,250,0,0,2415,0.2786885245901639,
10030026,873,52,1,0.4,156,5,29,2,1,124,0.22580645161290322,116,1,2,971,0.12903225806451613,250,1,1,980,0.25806451612903225,250,2,2,1253,0.03225806451612903,250,0,0,2415,0.3548387096774194,
10030026,932,115,1,0.4,379,5,110,2,2,468,0.14,182,1,1,567,0.24,84,1,2,690,0.34,250,2,1,1283,0.11,250,0,0,2415,0.17,
10030026,967,182,1,0.0,567,5,128,1,1,327,0.18253968253968253,115,1,1,379,0.19047619047619047,250,2,1,1283,0.31746031746031744,250,2,1,2035,0.1746031746031746,250,0,0,2415,0.1349206349206349,
10030026,977,85,2,0.4,268,5,54,1,2,167,0.10714285714285714,250,3,1,845,0.19047619047619047,250,1,1,980,0.15476190476190477,250,2,2,1466,0.25,250,2,1,2035,0.2976190476190476,
10050101,614,186,1,0.0,524,5,207,2,1,423,0.1694915254237288,250,1,1,820,0.2033898305084746,250,1,1,869,0.2711864406779661,250,2,1,907,0.11864406779661017,250,0,0,2568,0.23728813559322035,
10050101,618,32,1,0.2,86,5,185,2,2,347,0.21739130434782608,119,2,1,386,0.08695652173913043,250,1,1,411,0.2391304347826087,250,1,1,457,0.2826086956521739,250,0,0,2568,0.17391304347826086,
10050101,659,250,1,0.0,411,5,32,1,1,86,0.11458333333333333,119,2,1,386,0.1875,159,2,1,396,0.16666666666666666,250,1,1,1846,0.2604166666666667,250,0,0,2568,0.2708333333333333,
10050101,573,128,2,0.0,283,5,125,3,1,385,0.16666666666666666,212,2,1,418,0.16666666666666666,250,1,1,820,0.25,250,2,1,907,0.10714285714285714,250,3,1,1811,0.30952380952380953,
10050101,578,23,2,0.2,87,5,63,3,1,244,0.13636363636363635,185,2,2,347,0.22727272727272727,212,2,1,418,0.18181818181818182,250,1,1,457,0.25,250,3,1,1544,0.20454545454545456,
10050101,634,207,2,0.0,423,5,186,1,1,524,0.18867924528301888,236,3,1,658,0.25471698113207547,250,1,1,869,0.16981132075471697,250,2,1,906,0.2641509433962264,250,2,1,907,0.12264150943396226,
10050101,646,159,2,0.0,396,5,46,2,1,164,0.19791666666666666,119,2,1,386,0.22916666666666666,250,1,1,411,0.16666666666666666,250,3,1,868,0.20833333333333334,250,1,1,1846,0.19791666666666666,
10050101,717,250,2,0.0,426,5,4,3,1,16,0.045454545454545456,250,2,1,362,0.2,250,3,1,468,0.2909090909090909,250,1,1,869,0.22727272727272727,250,2,1,1501,0.23636363636363636,
10050101,723,73,2,0.0,212,5,24,3,1,112,0.19230769230769232,118,2,1,305,0.2564102564102564,250,3,1,618,0.10256410256410256,250,2,1,775,0.28205128205128205,250,1,1,1846,0.16666666666666666,
10050101,733,19,2,0.2,107,5,2,1,0,101,0.06,38,2,1,116,0.1,250,2,1,510,0.24,250,1,1,1028,0.3,250,1,1,1846,0.3,
10050101,748,118,2,0.0,305,5,73,2,1,212,0.20408163265306123,101,2,1,248,0.19387755102040816,250,3,1,618,0.2857142857142857,250,3,1,1508,0.04081632653061224,250,1,1,1846,0.2755102040816326,
10050101,758,101,2,0.0,248,5,23,3,1,98,0.1625,118,2,1,305,0.2375,250,2,1,510,0.275,250,3,1,1508,0.0875,250,1,1,1846,0.2375,
10050101,763,38,2,0.0,116,5,19,2,1,107,0.08928571428571429,250,3,1,479,0.08928571428571429,250,2,1,510,0.25,250,2,1,661,0.23214285714285715,250,1,1,1028,0.3392857142857143,
10010080,947,124,1,0.0,278,5,75,1,1,199,0.09523809523809523,57,2,1,231,0.2261904761904762,118,2,1,284,0.25,250,1,1,770,0.16666666666666666,250,0,0,2512,0.2619047619047619,
10010080,965,75,1,0.0,199,5,57,2,1,231,0.12857142857142856,124,1,1,278,0.11428571428571428,250,1,1,705,0.24285714285714285,250,2,1,1735,0.22857142857142856,250,0,0,2512,0.2857142857142857,
10010080,1043,225,1,0.0,422,5,6,2,1,36,0.0673076923076923,142,2,1,455,0.2403846153846154,250,1,1,705,0.25,250,1,1,1754,0.20192307692307693,250,0,0,2512,0.2403846153846154,
10010080,1102,203,1,0.0,461,5,250,2,1,601,0.125,250,2,1,680,0.18269230769230768,250,1,1,983,0.25961538461538464,250,1,1,1754,0.25,250,0,0,2512,0.18269230769230768,
10010080,934,57,2,0.0,231,5,75,1,1,199,0.11842105263157894,76,3,1,266,0.13157894736842105,124,1,1,278,0.25,118,2,1,284,0.14473684210526316,250,2,1,1735,0.35526315789473684,
10010080,952,160,2,0.0,305,5,56,3,1,166,0.17777777777777778,52,2,1,330,0.18888888888888888,250,1,1,705,0.1,250,3,1,1364,0.26666666666666666,250,2,1,1735,0.26666666666666666,
10010080,983,52,2,0.0,330,5,6,2,1,36,0.05319148936170213,56,3,1,166,0.0425531914893617,160,2,1,305,0.18085106382978725,250,1,1,705,0.3617021276595745,250,3,1,1187,0.3617021276595745,
10010080,1028,6,2,0.0,36,5,52,2,1,330,0.16666666666666666,225,1,1,422,0.23333333333333334,142,2,1,455,0.13333333333333333,250,1,1,705,0.23333333333333334,250,3,1,1187,0.23333333333333334,
10010080,1096,250,2,0.0,772,5,99,2,1,366,0.12162162162162163,117,3,1,455,0.21621621621621623,250,2,1,599,0.12837837837837837,250,1,1,983,0.23648648648648649,250,3,1,1139,0.2972972972972973,
10010080,1120,99,2,0.0,366,5,23,3,1,54,0.05,250,2,1,601,0.25,250,2,1,772,0.18,250,1,1,983,0.23,250,3,1,1139,0.29,
10010080,1135,61,2,0.0,127,5,93,3,1,157,0.2037037037037037,58,3,1,227,0.2777777777777778,250,2,1,597,0.18518518518518517,250,2,1,680,0.1111111111111111,250,1,1,1754,0.2222222222222222,
10030010,1668,200,1,0.0,552,5,3,1,0,25,0.07894736842105263,239,2,1,380,0.19298245614035087,250,1,1,823,0.16666666666666666,250,2,1,1649,0.19298245614035087,250,0,0,2832,0.3684210526315789,
10030010,1529,250,2,0.0,515,5,62,3,1,201,0.1574074074074074,160,3,1,355,0.18518518518518517,197,2,1,492,0.17592592592592593,250,2,1,844,0.25925925925925924,250,1,1,882,0.2222222222222222,
10030010,1532,107,2,0.0,297,5,250,2,1,353,0.13953488372093023,197,2,1,492,0.27906976744186046,222,3,1,704,0.16279069767441862,250,1,1,980,0.27906976744186046,250,3,1,1073,0.13953488372093023,
10030010,1565,202,2,0.0,532,5,47,1,1,159,0.17857142857142858,250,1,1,594,0.26785714285714285,243,1,1,594,0.13392857142857142,250,2,1,955,0.21428571428571427,250,2,1,1349,0.20535714285714285,
10030010,1696,239,2,0.0,380,5,200,1,1,552,0.22,250,3,1,583,0.23,250,2,1,672,0.29,250,1,1,823,0.15,250,2,1,1649,0.11,
10050139,436,150,1,0.2,467,5,3,1,0,275,0.16363636363636364,228,1,1,651,0.2636363636363636,250,2,1,918,0.21818181818181817,250,2,1,1558,0.10909090909090909,250,0,0,2526,0.24545454545454545,
10050139,455,228,1,0.2,651,5,150,1,1,467,0.23387096774193547,250,2,2,1097,0.23387096774193547,250,1,1,1287,0.21774193548387097,250,2,1,1558,0.20161290322580644,250,0,0,2526,0.11290322580645161,
10050139,512,88,2,0.4,386,5,1,2,2,7,0.030612244897959183,250,3,1,436,0.2653061224489796,250,2,2,595,0.21428571428571427,250,3,1,687,0.25510204081632654,250,1,1,895,0.23469387755102042,
10050139,586,36,2,0.4,105,5,54,1,1,279,0.17307692307692307,2,1,0,651,0.2692307692307692,250,2,2,756,0.17307692307692307,250,3,1,882,0.3076923076923077,250,2,1,923,0.07692307692307693,
10030028,1460,18,2,0.6,89,5,1,2,2,415,0.17391304347826086,152,3,1,529,0.21739130434782608,1,1,0,664,0.13043478260869565,250,3,1,1174,0.2608695652173913,165,2,2,1528,0.21739130434782608,
10010074,150,203,1,0.0,469,5,66,1,1,229,0.08490566037735849,249,2,1,305,0.19811320754716982,250,1,1,615,0.19811320754716982,250,2,1,2216,0.24528301886792453,250,0,0,2532,0.27358490566037735,
10010074,192,66,1,0.0,229,5,249,2,1,305,0.19444444444444445,125,1,1,350,0.18055555555555555,203,1,1,469,0.125,250,2,1,665,0.2361111111111111,250,0,0,2532,0.2638888888888889,
10010074,194,125,1,0.0,350,5,42,2,1,147,0.14130434782608695,66,1,1,229,0.14130434782608695,190,1,1,489,0.17391304347826086,250,2,1,665,0.20652173913043478,250,0,0,2532,0.33695652173913043,
10010074,65,143,2,0.2,402,5,164,2,2,280,0.11,119,3,1,289,0.19,250,3,1,413,0.24,250,1,1,538,0.2,250,2,1,1098,0.26,
10010074,169,249,2,0.0,305,5,66,1,1,229,0.1590909090909091,203,1,1,469,0.23863636363636365,250,2,1,665,0.13636363636363635,250,3,1,670,0.22727272727272727,250,2,1,2216,0.23863636363636365,
10010074,244,42,2,0.0,147,5,15,3,1,36,0.07142857142857142,125,1,1,350,0.23214285714285715,190,1,1,489,0.14285714285714285,250,2,1,665,0.25,250,2,1,875,0.30357142857142855,
10010074,275,140,2,0.0,304,5,121,1,1,329,0.2558139534883721,250,3,1,596,0.09302325581395349,250,2,1,678,0.1511627906976744,250,3,1,694,0.29069767441860467,250,2,1,1115,0.20930232558139536,
10030017,1434,70,1,0.0,168,5,156,2,1,307,0.16176470588235295,66,1,1,323,0.23529411764705882,250,2,1,419,0.17647058823529413,250,1,1,1444,0.2647058823529412,250,0,0,2468,0.16176470588235295,
10030017,1459,66,1,0.0,323,5,70,1,1,168,0.17777777777777778,62,1,1,337,0.022222222222222223,250,2,1,419,0.14444444444444443,250,2,1,1032,0.32222222222222224,250,0,0,2468,0.3333333333333333,
10030017,1446,65,2,0.4,279,5,14,2,2,72,0.07142857142857142,96,2,2,262,0.13095238095238096,250,2,1,1149,0.30952380952380953,250,1,1,1215,0.2619047619047619,250,1,1,1250,0.2261904761904762,
10030017,1529,137,2,0.0,323,5,128,1,1,468,0.29347826086956524,215,2,1,507,0.2391304347826087,163,1,1,542,0.05434782608695652,250,1,1,1250,0.14130434782608695,250,2,1,1728,0.2717391304347826,
10050106,1286,98,1,0.0,231,5,61,1,1,239,0.1590909090909091,166,2,1,448,0.2159090909090909,250,1,1,578,0.3977272727272727,250,2,1,847,0.14772727272727273,250,0,0,2408,0.07954545454545454,
10050106,1353,134,1,0.0,325,5,73,2,1,173,0.16666666666666666,34,1,1,183,0.16666666666666666,250,1,1,848,0.2111111111111111,250,2,1,1048,0.2111111111111111,250,0,0,2408,0.24444444444444444,
10050106,1218,74,2,0.0,217,5,72,2,1,263,0.2972972972972973,60,3,1,300,0.21621621621621623,166,2,1,448,0.20270270270270271,250,1,1,1157,0.1891891891891892,250,3,1,1178,0.0945945945945946,
10050106,1351,73,2,0.0,265,5,73,2,1,173,0.07142857142857142,250,2,1,653,0.13095238095238096,250,3,1,680,0.14285714285714285,250,1,1,848,0.34523809523809523,250,3,1,1191,0.30952380952380953,
10050106,1376,73,2,0.0,173,5,73,2,1,265,0.09090909090909091,134,1,1,325,0.22727272727272727,250,1,1,848,0.18181818181818182,250,2,1,1048,0.18181818181818182,250,3,1,1191,0.3181818181818182,
10010020,596,38,1,0.0,103,5,39,2,1,142,0.14814814814814814,127,1,1,217,0.05555555555555555,60,1,1,283,0.07407407407407407,250,2,1,1249,0.3148148148148148,250,0,0,2289,0.4074074074074074,
10010020,622,60,1,0.0,283,5,38,1,1,103,0.046511627906976744,201,2,1,382,0.11627906976744186,250,1,1,706,0.1744186046511628,250,2,1,1249,0.3023255813953488,250,0,0,2289,0.36046511627906974,
10010020,526,105,2,0.0,279,5,127,1,1,217,0.056818181818181816,250,1,1,819,0.2840909090909091,250,2,1,951,0.36363636363636365,250,2,1,1068,0.2159090909090909,250,3,1,1105,0.07954545454545454,
10010020,544,173,2,0.0,330,5,39,2,1,142,0.13043478260869565,127,1,1,217,0.15217391304347827,250,3,1,406,0.13043478260869565,250,3,1,763,0.25,250,2,1,951,0.33695652173913043,
10010020,561,39,2,0.0,142,5,38,1,1,103,0.14285714285714285,127,1,1,217,0.16071428571428573,173,2,1,330,0.21428571428571427,250,3,1,763,0.14285714285714285,250,2,1,1249,0.3392857142857143,
10010020,566,15,2,0.0,39,5,175,2,1,411,0.2,246,3,1,562,0.16666666666666666,250,1,1,819,0.2,250,3,1,921,0.2,250,2,1,1068,0.23333333333333334,
10010020,616,175,2,0.0,411,5,15,2,1,39,0.057692307692307696,250,2,1,193,0.10576923076923077,246,3,1,562,0.3173076923076923,250,1,1,819,0.2403846153846154,250,1,1,949,0.27884615384615385,
10010020,633,201,2,0.0,382,5,19,3,1,65,0.13829787234042554,60,1,1,283,0.10638297872340426,178,2,1,433,0.23404255319148937,250,1,1,706,0.24468085106382978,250,2,1,1249,0.2765957446808511,
10010020,673,109,2,0.0,318,5,250,2,1,193,0.11627906976744186,116,2,1,204,0.16279069767441862,134,3,1,400,0.19767441860465115,250,1,1,949,0.2558139534883721,250,3,1,1082,0.26744186046511625,
10010020,699,116,2,0.0,204,5,128,2,1,281,0.20833333333333334,109,2,1,318,0.19444444444444445,250,3,1,708,0.1388888888888889,250,1,1,949,0.20833333333333334,250,3,1,1082,0.25,
10030043,1192,157,1,0.0,365,5,115,1,1,302,0.09,250,2,1,376,0.13,152,2,1,412,0.25,250,1,1,1854,0.26,250,0,0,2630,0.27,
10030043,1201,67,1,0.0,274,5,180,2,1,252,0.1509433962264151,115,1,1,302,0.12264150943396226,250,1,1,816,0.04716981132075472,250,2,1,963,0.29245283018867924,250,0,0,2630,0.3867924528301887,
10030043,1087,88,2,0.0,335,5,85,3,1,214,0.17777777777777778,250,2,1,456,0.14444444444444443,250,3,1,525,0.15555555555555556,250,2,1,709,0.25555555555555554,250,1,1,1068,0.26666666666666666,
10030043,1119,250,2,0.0,456,5,88,2,1,335,0.12037037037037036,250,2,1,523,0.21296296296296297,250,3,1,525,0.2222222222222222,250,1,1,1068,0.2222222222222222,250,1,1,1854,0.2222222222222222,
10030043,1247,152,2,0.0,412,5,9,3,1,66,0.10576923076923077,115,1,1,302,0.14423076923076922,157,1,1,365,0.2403846153846154,250,2,1,376,0.18269230769230768,250,2,1,869,0.3269230769230769,
10050152,180,207,1,0.2,568,5,54,2,1,173,0.1349206349206349,250,1,1,660,0.2619047619047619,250,2,2,787,0.20634920634920634,250,1,1,1321,0.1349206349206349,250,0,0,2611,0.2619047619047619,
10050152,231,231,1,0.4,609,5,1,1,0,14,0.046875,250,2,1,692,0.1484375,250,2,1,784,0.1796875,144,1,2,1242,0.2578125,250,0,0,2611,0.3671875,
10050152,129,148,2,0.0,475,5,32,2,1,109,0.07627118644067797,94,2,1,234,0.13559322033898305,250,1,1,930,0.3305084745762712,250,3,1,1065,0.3220338983050847,250,2,1,1087,0.13559322033898305,
10050152,138,32,2,0.0,109,5,21,1,1,79,0.12962962962962962,94,2,1,234,0.14814814814814814,148,2,1,475,0.16666666666666666,250,1,1,930,0.2222222222222222,250,1,1,1165,0.3333333333333333,
10050152,185,137,2,0.4,241,5,250,2,2,577,0.16666666666666666,250,3,1,589,0.20512820512820512,250,1,1,660,0.2564102564102564,250,2,2,787,0.21794871794871795,250,3,1,1085,0.15384615384615385,
10050152,284,73,2,0.2,166,5,143,2,1,350,0.09375,250,2,2,615,0.234375,250,3,1,764,0.203125,250,3,1,920,0.25,250,1,1,975,0.21875,
10050152,290,143,2,0.2,350,5,73,2,1,166,0.0625,250,2,1,759,0.19791666666666666,80,1,2,775,0.125,250,3,1,920,0.3229166666666667,250,1,1,975,0.2916666666666667,
10010027,425,19,1,0.4,69,5,1,1,0,73,0.13636363636363635,250,2,1,491,0.11363636363636363,3,1,0,492,0.06818181818181818,250,2,1,1002,0.2727272727272727,250,0,0,2481,0.4090909090909091,
10010027,437,47,1,0.0,157,5,11,2,1,60,0.046875,250,2,1,537,0.28125,250,1,1,796,0.25,250,1,1,1568,0.234375,250,0,0,2481,0.1875,
10010027,497,72,1,0.0,279,5,24,2,1,65,0.0975609756097561,150,2,1,337,0.15853658536585366,234,1,1,436,0.23170731707317074,250,1,1,1230,0.1951219512195122,250,0,0,2481,0.3170731707317073,
