SSN,GSN,DIS,RCP,NRF,IRS,INN,dis1,rcp1,typ1,irs1,lf1,dis2,rcp2,typ2,irs2,lf2,dis3,rcp3,typ3,irs3,lf3,dis4,rcp4,typ4,irs4,lf4,dis5,rcp5,typ5,irs5,lf5,dis6,rcp6,typ6,irs6,lf6,dis7,rcp7,typ7,irs7,lf7,NAN
10010042,415,250,2,0.14285714285714285,972,7,74,3,1,201,0.09375,119,3,1,334,0.05625,250,3,1,664,0.2125,174,1,2,809,0.18125,250,2,1,891,0.05,250,2,1,1044,0.2,250,3,1,1168,0.20625,
10010045,1492,250,1,0.0,667,7,115,2,1,290,0.13432835820895522,107,2,1,338,0.14925373134328357,160,1,1,367,0.15671641791044777,238,2,1,442,0.13432835820895522,250,2,1,541,0.11194029850746269,203,1,1,567,0.1865671641791045,250,0,0,2598,0.12686567164179105,
10010045,1465,250,2,0.0,541,7,115,3,1,159,0.17543859649122806,94,3,1,192,0.13157894736842105,115,2,1,290,0.14912280701754385,250,3,1,342,0.10526315789473684,238,2,1,442,0.20175438596491227,250,3,1,610,0.10526315789473684,250,1,1,667,0.13157894736842105,
10010045,1558,250,2,0.14285714285714285,1114,7,173,3,1,303,0.040697674418604654,199,3,1,399,0.13372093023255813,176,3,2,404,0.1569767441860465,250,2,1,526,0.16279069767441862,250,3,1,528,0.16279069767441862,250,2,1,533,0.11627906976744186,250,1,1,1530,0.22674418604651161,
10010045,1570,250,2,0.2857142857142857,948,7,4,3,2,31,0.06172839506172839,26,3,1,152,0.09259259259259259,117,2,1,208,0.12345679012345678,218,2,2,562,0.14814814814814814,203,1,1,567,0.16666666666666666,143,1,1,653,0.2345679012345679,250,3,1,1128,0.1728395061728395,
10050130,99,242,2,0.42857142857142855,709,7,41,2,1,219,0.09285714285714286,250,3,1,553,0.10714285714285714,202,3,1,629,0.07142857142857142,99,3,2,736,0.19285714285714287,250,3,1,844,0.2357142857142857,36,2,2,859,0.04285714285714286,5,1,0,1093,0.2571428571428571,
10050130,1735,250,2,0.2857142857142857,1094,7,4,2,2,89,0.05263157894736842,78,3,1,289,0.04678362573099415,141,2,1,356,0.1286549707602339,250,3,1,1118,0.26900584795321636,250,3,1,1165,0.13450292397660818,4,1,0,1338,0.23976608187134502,250,3,1,1361,0.1286549707602339,
10030021,1033,250,1,0.0,819,7,41,1,1,109,0.1038961038961039,46,2,1,136,0.15584415584415584,100,2,1,228,0.11038961038961038,135,2,1,313,0.16883116883116883,250,2,1,645,0.18831168831168832,250,1,1,728,0.07142857142857142,250,0,0,2153,0.2012987012987013,
10030021,1087,250,1,0.0,728,7,46,2,1,136,0.08088235294117647,102,2,1,219,0.0661764705882353,250,2,1,649,0.17647058823529413,250,1,1,819,0.08088235294117647,250,2,1,928,0.22794117647058823,250,1,1,1286,0.125,250,0,0,2153,0.2426470588235294,
10030021,1090,250,2,0.0,645,7,46,2,1,136,0.0234375,55,3,1,191,0.0859375,135,2,1,313,0.0078125,197,3,1,490,0.2578125,250,2,1,649,0.234375,250,1,1,819,0.2265625,250,3,1,1032,0.1640625,
10010073,819,250,1,0.0,942,7,22,1,1,103,0.04878048780487805,61,1,1,155,0.11585365853658537,250,2,1,299,0.09146341463414634,173,2,1,316,0.10365853658536585,219,2,1,449,0.13414634146341464,250,2,1,1036,0.21341463414634146,250,0,0,2516,0.2926829268292683,
10010073,910,250,1,0.0,568,7,4,2,1,13,0.038461538461538464,13,1,1,72,0.023076923076923078,35,2,1,142,0.1,250,1,1,915,0.3230769230769231,250,2,1,1131,0.03076923076923077,250,2,1,1211,0.33076923076923076,250,0,0,2516,0.15384615384615385,
10010073,773,250,2,0.0,1036,7,7,3,1,46,0.08125,104,3,1,283,0.13125,173,2,1,316,0.1375,219,2,1,449,0.06875,250,3,1,737,0.1625,250,3,1,828,0.2,250,1,1,942,0.21875,
10010073,796,250,2,0.0,1132,7,9,3,1,48,0.06179775280898876,250,3,1,227,0.15168539325842698,250,2,1,299,0.028089887640449437,226,2,1,523,0.11797752808988764,250,1,1,719,0.21348314606741572,250,3,1,795,0.20786516853932585,250,3,1,930,0.21910112359550563,
10010073,840,250,2,0.0,1158,7,13,3,1,63,0.029069767441860465,61,1,1,155,0.12790697674418605,173,2,1,316,0.16279069767441862,164,3,1,363,0.1744186046511628,250,2,1,504,0.20348837209302326,250,3,1,709,0.11046511627906977,250,1,1,1105,0.19186046511627908,
10010073,922,250,2,0.0,1242,7,250,2,1,504,0.21666666666666667,250,3,1,625,0.05555555555555555,250,3,1,641,0.10555555555555556,250,2,1,677,0.20555555555555555,250,3,1,729,0.1111111111111111,250,3,1,914,0.20555555555555555,250,1,1,1105,0.1,
10010073,939,250,2,0.0,924,7,36,2,1,90,0.07236842105263158,250,3,1,322,0.07894736842105263,127,1,1,373,0.15789473684210525,141,1,1,471,0.1118421052631579,250,2,1,677,0.1513157894736842,250,3,1,1036,0.2631578947368421,250,1,1,1105,0.16447368421052633,
10050108,363,250,2,0.0,1365,7,15,2,1,28,0.03723404255319149,144,2,1,278,0.1595744680851064,64,3,1,370,0.12234042553191489,168,3,1,507,0.13829787234042554,206,2,1,511,0.16489361702127658,250,3,1,1172,0.20212765957446807,250,1,1,1346,0.17553191489361702,
10050108,480,250,2,0.2857142857142857,377,7,1,1,0,42,0.07291666666666667,34,3,1,167,0.11458333333333333,84,1,2,533,0.20833333333333334,250,3,1,642,0.16666666666666666,250,2,1,824,0.17708333333333334,250,1,1,1346,0.14583333333333334,250,2,1,1853,0.11458333333333333,
10050108,519,250,2,0.14285714285714285,949,7,20,3,2,55,0.05333333333333334,28,2,1,139,0.17333333333333334,44,3,1,145,0.13333333333333333,54,3,1,147,0.10666666666666667,250,2,1,559,0.14666666666666667,250,1,1,1043,0.20666666666666667,250,3,1,1439,0.18,
10050108,528,250,2,0.5714285714285714,824,7,69,3,2,189,0.10135135135135136,250,2,1,377,0.11486486486486487,144,3,2,470,0.13513513513513514,84,1,2,533,0.1554054054054054,223,2,1,551,0.1891891891891892,250,3,2,624,0.14189189189189189,250,3,1,642,0.16216216216216217,
10030019,635,250,1,0.0,667,7,6,1,0,35,0.0546875,229,2,1,491,0.1171875,202,2,1,528,0.1484375,250,1,1,703,0.0859375,250,2,1,889,0.2734375,250,2,1,1426,0.1171875,250,0,0,2885,0.203125,
10030019,788,250,1,0.14285714285714285,943,7,1,2,1,6,0.012658227848101266,250,2,2,448,0.14556962025316456,188,1,1,527,0.15822784810126583,250,2,1,646,0.25316455696202533,250,2,1,788,0.18354430379746836,250,1,1,1277,0.03164556962025317,250,0,0,2885,0.21518987341772153,
10030019,651,250,2,0.2857142857142857,1005,7,80,3,1,189,0.12337662337662338,167,3,1,394,0.12337662337662338,200,3,2,528,0.14935064935064934,197,3,1,542,0.09740259740259741,176,2,2,569,0.14935064935064934,250,1,1,703,0.18181818181818182,250,2,1,889,0.17532467532467533,
10030019,668,202,2,0.0,528,7,6,1,0,35,0.08928571428571429,47,3,1,138,0.05357142857142857,29,1,1,140,0.07142857142857142,195,3,1,273,0.09821428571428571,250,1,1,667,0.16964285714285715,250,2,1,1056,0.2857142857142857,250,2,1,1426,0.23214285714285715,
10030019,707,169,2,0.14285714285714285,427,7,1,3,1,2,0.04807692307692308,48,2,1,143,0.15384615384615385,30,3,1,193,0.125,250,3,1,634,0.038461538461538464,250,2,1,1056,0.22115384615384615,250,3,2,1129,0.17307692307692307,250,1,1,2049,0.2403846153846154,
10030019,875,250,2,0.14285714285714285,635,7,14,3,1,63,0.06521739130434782,21,3,1,102,0.11594202898550725,65,2,1,159,0.07971014492753623,250,3,1,443,0.08695652173913043,250,2,1,516,0.13043478260869565,250,1,1,1277,0.2753623188405797,250,3,2,1325,0.2463768115942029,
10010087,612,250,2,0.0,1171,7,226,2,1,272,0.15294117647058825,95,3,1,361,0.13529411764705881,193,1,1,425,0.20588235294117646,208,2,1,452,0.11764705882352941,169,1,1,465,0.19411764705882353,250,3,1,781,0.03529411764705882,250,3,1,983,0.1588235294117647,
10010087,637,250,2,0.14285714285714285,1365,7,42,2,1,167,0.03723404255319149,226,2,1,272,0.10638297872340426,1,1,0,457,0.2074468085106383,169,1,1,465,0.1276595744680851,250,3,1,1183,0.16489361702127658,250,3,1,1263,0.13297872340425532,250,3,1,1301,0.22340425531914893,
10030026,875,250,2,0.2857142857142857,385,7,3,3,1,22,0.02830188679245283,46,2,1,169,0.16037735849056603,150,1,1,367,0.1509433962264151,111,2,2,480,0.07547169811320754,250,3,1,536,0.04716981132075472,84,1,2,690,0.22641509433962265,250,3,1,793,0.3113207547169811,
10030026,992,250,2,0.14285714285714285,1283,7,115,1,1,379,0.05670103092783505,110,2,2,468,0.14432989690721648,182,1,1,567,0.20618556701030927,250,3,1,656,0.13917525773195877,250,3,1,667,0.2268041237113402,250,3,1,884,0.07216494845360824,250,2,1,2035,0.15463917525773196,
10050101,722,250,1,0.14285714285714285,1028,7,2,1,0,101,0.0949367088607595,19,2,1,107,0.0949367088607595,38,2,1,116,0.12025316455696203,29,1,1,119,0.056962025316455694,250,2,1,661,0.1518987341772152,250,2,1,1501,0.22784810126582278,250,0,0,2568,0.25316455696202533,
10050101,564,250,2,0.14285714285714285,907,7,128,2,1,283,0.05844155844155844,207,2,1,423,0.08441558441558442,186,1,1,524,0.09090909090909091,236,3,1,658,0.14935064935064934,250,1,1,820,0.22727272727272727,250,3,2,1103,0.18181818181818182,250,3,1,1811,0.2077922077922078,
10050101,678,250,2,0.0,362,7,4,3,1,16,0.058823529411764705,98,3,1,168,0.049019607843137254,160,3,1,248,0.12745098039215685,111,3,1,266,0.24509803921568626,250,2,1,426,0.21568627450980393,250,1,1,869,0.0784313725490196,250,2,1,906,0.22549019607843138,
10050101,780,250,2,0.0,510,7,23,3,1,98,0.058333333333333334,19,2,1,107,0.1,38,2,1,116,0.11666666666666667,101,2,1,248,0.18333333333333332,250,3,1,479,0.18333333333333332,250,3,1,1303,0.21666666666666667,250,1,1,1846,0.14166666666666666,
10010080,993,250,1,0.0,705,7,6,2,1,36,0.04794520547945205,75,1,1,199,0.11643835616438356,160,2,1,305,0.06164383561643835,52,2,1,330,0.2328767123287671,225,1,1,422,0.1780821917808219,250,2,1,1735,0.1506849315068493,250,0,0,2512,0.21232876712328766,
10010080,1083,250,1,0.0,983,7,32,1,1,163,0.0949367088607595,99,2,1,366,0.14556962025316456,203,1,1,461,0.17088607594936708,250,2,1,599,0.05063291139240506,250,2,1,601,0.16455696202531644,250,2,1,772,0.22151898734177214,250,0,0,2512,0.1518987341772152,
10010080,904,250,2,0.0,1214,7,6,3,1,49,0.043010752688172046,118,2,1,284,0.03763440860215054,218,3,1,535,0.08064516129032258,250,1,1,770,0.15053763440860216,250,3,1,1035,0.23118279569892472,250,3,1,1404,0.1989247311827957,250,2,1,1595,0.25806451612903225,
10010080,1033,250,2,0.0,599,7,15,2,1,94,0.04838709677419355,32,1,1,163,0.14516129032258066,117,3,1,455,0.18548387096774194,144,1,1,468,0.20967741935483872,250,2,1,772,0.1532258064516129,250,1,1,983,0.06451612903225806,250,3,1,1839,0.1935483870967742,
10010080,1118,250,2,0.0,776,7,95,3,1,218,0.14285714285714285,77,3,1,228,0.1357142857142857,250,3,1,414,0.08571428571428572,142,2,1,455,0.07142857142857142,250,2,1,597,0.2,250,3,1,657,0.17142857142857143,250,1,1,1754,0.19285714285714287,
10030010,1553,250,1,0.0,882,7,3,2,1,16,0.038461538461538464,197,2,1,492,0.15384615384615385,250,2,1,515,0.15384615384615385,250,1,1,594,0.01282051282051282,250,2,1,844,0.14102564102564102,250,1,1,980,0.21794871794871795,250,0,0,2832,0.28205128205128205,
10030010,1581,250,1,0.0,980,7,107,2,1,297,0.1518987341772152,250,2,1,353,0.08227848101265822,184,2,1,465,0.2088607594936709,197,2,1,492,0.04430379746835443,250,1,1,774,0.13291139240506328,250,1,1,882,0.21518987341772153,250,0,0,2832,0.16455696202531644,
10030010,1678,250,1,0.0,823,7,47,1,1,119,0.08450704225352113,239,2,1,380,0.1056338028169014,187,2,1,394,0.1267605633802817,209,2,1,525,0.2112676056338028,200,1,1,552,0.13380281690140844,250,2,1,672,0.1619718309859155,250,0,0,2832,0.176056338028169,
10030010,1498,250,2,0.0,660,7,27,2,1,101,0.07575757575757576,194,3,1,362,0.13636363636363635,250,3,1,568,0.07575757575757576,250,1,1,594,0.06060606060606061,250,2,1,844,0.22727272727272727,250,2,1,955,0.22727272727272727,250,3,1,959,0.19696969696969696,
10030010,1690,187,2,0.0,394,7,1,2,1,9,0.07142857142857142,47,1,1,119,0.17346938775510204,54,3,1,133,0.1326530612244898,209,2,1,525,0.14285714285714285,250,3,1,682,0.16326530612244897,250,1,1,774,0.1326530612244898,250,1,1,823,0.1836734693877551,
10030010,1727,250,2,0.0,672,7,225,3,1,343,0.1865671641791045,239,2,1,380,0.21641791044776118,250,3,1,428,0.05970149253731343,209,2,1,525,0.08955223880597014,250,3,1,583,0.029850746268656716,250,1,1,823,0.17164179104477612,250,3,1,1069,0.2462686567164179,
10050139,415,250,1,0.2857142857142857,711,7,5,2,2,20,0.022058823529411766,3,1,0,275,0.22058823529411764,250,2,1,918,0.10294117647058823,250,2,1,1078,0.17647058823529413,250,1,1,1174,0.04411764705882353,250,2,1,1324,0.27941176470588236,250,0,0,2526,0.15441176470588236,
10050139,450,250,1,0.42857142857142855,1174,7,53,2,2,192,0.10714285714285714,250,2,2,307,0.10119047619047619,250,2,2,595,0.15476190476190477,250,1,1,711,0.03571428571428571,250,1,1,895,0.15476190476190477,250,2,1,1324,0.23214285714285715,250,0,0,2526,0.21428571428571427,
10050139,491,250,1,0.42857142857142855,895,7,1,2,2,7,0.0273972602739726,1,1,0,77,0.04794520547945205,88,2,1,386,0.15753424657534246,250,2,2,595,0.136986301369863,250,2,1,693,0.1917808219178082,250,1,1,1174,0.1780821917808219,250,0,0,2526,0.2602739726027397,
10050139,518,250,1,0.42857142857142855,1287,7,13,2,2,65,0.054945054945054944,228,1,1,651,0.14835164835164835,2,1,0,651,0.08791208791208792,250,2,1,923,0.12087912087912088,250,2,1,1053,0.24175824175824176,250,2,2,1097,0.0989010989010989,250,0,0,2526,0.24725274725274726,
10050139,340,250,2,0.42857142857142855,1078,7,5,2,2,20,0.06329113924050633,52,3,2,108,0.08227848101265822,250,1,1,711,0.1518987341772152,250,3,2,729,0.20253164556962025,250,3,1,850,0.17721518987341772,250,3,1,883,0.15822784810126583,250,2,1,918,0.16455696202531644,
10050139,405,250,2,0.42857142857142855,1324,7,5,2,2,20,0.05,81,3,1,179,0.03333333333333333,250,2,2,307,0.1111111111111111,250,1,1,711,0.2111111111111111,250,3,1,850,0.2222222222222222,250,3,2,1071,0.15555555555555556,250,1,1,1174,0.21666666666666667,
10050139,546,250,2,0.5714285714285714,693,7,1,2,2,7,0.015384615384615385,1,1,0,77,0.12307692307692308,54,1,1,279,0.17692307692307693,250,3,1,687,0.17692307692307693,250,2,2,756,0.13846153846153847,250,1,1,895,0.2153846153846154,250,3,2,1052,0.15384615384615385,
10050139,547,250,2,0.42857142857142855,1053,7,4,3,2,28,0.03488372093023256,13,2,2,65,0.05813953488372093,179,3,1,546,0.22674418604651161,250,2,1,923,0.0755813953488372,250,3,1,1078,0.25,250,3,2,1185,0.09883720930232558,250,1,1,1287,0.2558139534883721,
10050139,575,250,2,0.14285714285714285,923,7,36,2,1,105,0.024390243902439025,179,3,1,546,0.17073170731707318,2,1,0,651,0.2682926829268293,250,3,1,730,0.10365853658536585,250,3,1,882,0.21951219512195122,250,2,1,1053,0.07926829268292683,250,1,1,1287,0.13414634146341464,
10030028,1319,250,2,0.5714285714285714,898,7,18,2,1,74,0.07333333333333333,2,2,2,133,0.08,247,3,2,701,0.13333333333333333,250,3,1,858,0.22666666666666666,3,2,2,1124,0.22,8,1,0,1302,0.18666666666666668,250,3,1,1581,0.08,
10010074,97,250,1,0.14285714285714285,615,7,79,2,1,159,0.20634920634920634,164,2,2,280,0.15079365079365079,216,2,1,334,0.07936507936507936,203,1,1,469,0.16666666666666666,250,1,1,538,0.1746031746031746,250,2,1,2216,0.1111111111111111,250,0,0,2532,0.1111111111111111,
10010074,98,250,2,0.0,1098,7,43,1,1,221,0.16292134831460675,119,3,1,289,0.06741573033707865,143,2,1,402,0.14606741573033707,250,1,1,538,0.11235955056179775,250,2,1,664,0.07865168539325842,250,3,1,724,0.20786516853932585,250,1,1,1210,0.2247191011235955,
10010074,287,250,2,0.0,875,7,15,3,1,36,0.07857142857142857,42,2,1,147,0.12142857142857143,164,3,1,253,0.10714285714285714,220,3,1,463,0.17142857142857143,190,1,1,489,0.17142857142857143,250,3,1,927,0.16428571428571428,250,2,1,1115,0.18571428571428572,
10030017,1389,250,1,0.2857142857142857,1444,7,70,1,1,168,0.09782608695652174,156,2,1,307,0.125,250,2,2,434,0.14130434782608695,250,2,2,642,0.19021739130434784,250,1,1,735,0.15760869565217392,250,2,1,1060,0.07608695652173914,250,0,0,2468,0.21195652173913043,
10030017,1421,250,1,0.14285714285714285,1215,7,14,2,2,72,0.09782608695652174,65,2,1,279,0.11956521739130435,250,1,1,735,0.22282608695652173,250,2,1,977,0.21195652173913043,250,2,1,1149,0.05434782608695652,250,1,1,1250,0.05434782608695652,250,0,0,2468,0.2391304347826087,
10030017,1523,163,1,0.42857142857142855,542,7,17,2,2,317,0.08196721311475409,137,2,1,323,0.040983606557377046,9,1,0,428,0.18032786885245902,128,1,1,468,0.22131147540983606,215,2,1,507,0.18032786885245902,85,2,2,523,0.18032786885245902,250,0,0,2468,0.11475409836065574,
10030017,1350,250,2,0.42857142857142855,1060,7,79,3,1,264,0.1144578313253012,156,2,1,307,0.09036144578313253,250,3,1,485,0.1144578313253012,250,3,2,541,0.21686746987951808,250,2,2,642,0.18072289156626506,250,1,1,1444,0.08433734939759036,250,3,2,1732,0.19879518072289157,
10030017,1505,241,2,0.14285714285714285,620,7,37,3,1,159,0.1076923076923077,12,2,2,199,0.13076923076923078,129,3,1,279,0.12307692307692308,62,1,1,337,0.09230769230769231,250,3,1,567,0.18461538461538463,250,2,1,1032,0.2230769230769231,250,3,1,1091,0.13846153846153847,
10050106,1312,250,1,0.0,578,7,17,2,1,62,0.0873015873015873,98,1,1,231,0.2777777777777778,250,2,1,418,0.12698412698412698,250,1,1,743,0.07936507936507936,250,2,1,847,0.023809523809523808,250,2,1,882,0.20634920634920634,250,0,0,2408,0.1984126984126984,
10050106,1234,235,2,0.14285714285714285,415,7,41,2,1,135,0.09433962264150944,55,2,1,216,0.20754716981132076,68,3,1,228,0.07547169811320754,180,3,2,461,0.07547169811320754,250,3,1,704,0.16981132075471697,250,3,1,860,0.27358490566037735,250,1,1,1222,0.10377358490566038,
10050106,1239,250,2,0.0,787,7,41,2,1,135,0.07534246575342465,90,3,1,170,0.1095890410958904,69,1,1,199,0.1643835616438356,250,2,1,504,0.0958904109589041,250,3,1,860,0.19863013698630136,250,1,1,1157,0.15753424657534246,250,1,1,1222,0.19863013698630136,
10050106,1306,250,2,0.0,880,7,60,3,1,103,0.07236842105263158,55,2,1,216,0.14473684210526316,68,3,1,228,0.1513157894736842,199,3,1,337,0.11842105263157894,250,2,1,653,0.19078947368421054,250,3,1,1059,0.25,250,1,1,1222,0.07236842105263158,
10050106,1405,250,2,0.0,915,7,211,3,1,186,0.0759493670886076,188,2,1,234,0.13291139240506328,113,2,1,305,0.08227848101265822,250,3,1,648,0.0759493670886076,250,1,1,743,0.14556962025316456,250,3,1,938,0.24050632911392406,250,1,1,1045,0.2468354430379747,
10010020,575,127,1,0.0,217,7,38,1,1,103,0.038461538461538464,39,2,1,142,0.11538461538461539,105,2,1,279,0.0641025641025641,173,2,1,330,0.1794871794871795,250,1,1,819,0.08974358974358974,250,2,1,951,0.23076923076923078,250,0,0,2289,0.28205128205128205,
10010020,581,250,1,0.0,819,7,15,2,1,39,0.04,127,1,1,217,0.04666666666666667,105,2,1,279,0.16666666666666666,175,2,1,411,0.16666666666666666,250,1,1,949,0.1,250,2,1,1068,0.18,250,0,0,2289,0.3,
10010020,664,250,1,0.0,706,7,66,1,1,201,0.1417910447761194,60,1,1,283,0.11194029850746269,201,2,1,382,0.17164179104477612,178,2,1,433,0.06716417910447761,250,2,1,806,0.26119402985074625,250,2,1,823,0.1044776119402985,250,0,0,2289,0.1417910447761194,
10010020,731,250,1,0.0,1274,7,31,2,1,165,0.10227272727272728,76,1,1,185,0.11363636363636363,66,1,1,201,0.11931818181818182,128,2,1,281,0.10795454545454546,250,2,1,487,0.19886363636363635,250,2,1,823,0.17613636363636365,250,0,0,2289,0.18181818181818182,
10010020,512,250,2,0.0,1068,7,15,2,1,39,0.040697674418604654,105,2,1,279,0.11046511627906977,187,3,1,463,0.09302325581395349,250,3,1,639,0.12790697674418605,250,1,1,819,0.1569767441860465,250,3,1,921,0.2616279069767442,250,3,1,1105,0.20930232558139536,
10010020,724,250,2,0.0,823,7,31,2,1,165,0.027777777777777776,66,1,1,201,0.125,199,3,1,477,0.1527777777777778,250,1,1,706,0.09722222222222222,250,2,1,806,0.1736111111111111,250,3,1,1027,0.20833333333333334,250,1,1,1274,0.2152777777777778,
10010020,772,250,2,0.0,487,7,2,3,1,6,0.02586206896551724,10,3,1,45,0.09482758620689655,31,2,1,165,0.11206896551724138,128,2,1,281,0.07758620689655173,250,3,1,708,0.11206896551724138,250,3,1,749,0.27586206896551724,250,1,1,1274,0.3017241379310345,
10030043,1104,222,1,0.14285714285714285,409,7,2,1,0,13,0.057692307692307696,250,2,1,688,0.16346153846153846,250,2,1,768,0.19230769230769232,250,1,1,816,0.08653846153846154,250,1,1,883,0.0673076923076923,250,2,2,1275,0.14423076923076922,250,0,0,2630,0.28846153846153844,
10030043,1124,250,1,0.0,1068,7,88,2,1,335,0.13793103448275862,250,2,1,456,0.13793103448275862,250,2,1,709,0.06896551724137931,250,1,1,883,0.23563218390804597,250,2,1,937,0.06321839080459771,250,1,1,1854,0.1839080459770115,250,0,0,2630,0.1724137931034483,
10030043,1162,250,2,0.2857142857142857,936,7,1,3,2,7,0.032467532467532464,104,3,1,320,0.16233766233766234,250,3,2,531,0.15584415584415584,250,2,1,688,0.14935064935064934,250,1,1,816,0.17532467532467533,250,2,1,963,0.14935064935064934,250,3,1,1119,0.17532467532467533,
10030043,1242,250,2,0.0,971,7,68,3,1,256,0.14556962025316456,250,2,1,376,0.12025316455696203,165,3,1,386,0.13924050632911392,250,3,1,691,0.17721518987341772,250,3,1,974,0.056962025316455694,250,2,1,991,0.16455696202531644,250,1,1,1854,0.1962025316455696,
10030043,1248,250,2,0.0,869,7,9,3,1,66,0.01875,81,3,1,138,0.075,180,2,1,252,0.09375,115,1,1,302,0.1125,152,2,1,412,0.2125,250,3,1,759,0.24375,250,3,1,1469,0.24375,
10050152,123,250,1,0.0,1165,7,21,1,1,79,0.10714285714285714,32,2,1,109,0.10714285714285714,94,2,1,234,0.13095238095238096,138,2,1,358,0.11904761904761904,250,2,1,1162,0.19047619047619047,250,1,1,1321,0.21428571428571427,250,0,0,2611,0.13095238095238096,
10050152,130,250,1,0.0,1321,7,54,2,1,173,0.12777777777777777,171,2,1,511,0.08333333333333333,207,1,1,568,0.09444444444444444,250,2,1,1022,0.16666666666666666,250,2,1,1162,0.1388888888888889,250,1,1,1165,0.2,250,0,0,2611,0.18888888888888888,
10050152,170,250,1,0.14285714285714285,930,7,1,1,0,14,0.04487179487179487,21,1,1,79,0.07692307692307693,32,2,1,109,0.07692307692307693,148,2,1,475,0.25,250,2,1,784,0.28846153846153844,250,2,1,1087,0.07051282051282051,250,0,0,2611,0.19230769230769232,
10050152,261,250,1,0.42857142857142855,975,7,73,2,1,166,0.08974358974358974,143,2,1,350,0.1794871794871795,250,2,2,577,0.1282051282051282,250,2,2,615,0.07692307692307693,250,1,1,660,0.17307692307692307,80,1,2,775,0.14743589743589744,250,0,0,2611,0.20512820512820512,
10050152,63,250,2,0.2857142857142857,1162,7,36,3,2,157,0.11627906976744186,87,3,1,261,0.13953488372093023,138,2,1,358,0.11627906976744186,171,2,1,511,0.13372093023255813,250,3,2,993,0.16279069767441862,250,1,1,1165,0.18604651162790697,250,1,1,1321,0.14534883720930233,
