SSN,GSN,DIS,RCP,NRF,IRS,INN,dis1,rcp1,typ1,irs1,lf1,dis2,rcp2,typ2,irs2,lf2,dis3,rcp3,typ3,irs3,lf3,dis4,rcp4,typ4,irs4,lf4,dis5,rcp5,typ5,irs5,lf5,dis6,rcp6,typ6,irs6,lf6,NAN
10010073,811,173,2,0.0,316,6,61,1,1,155,0.043478260869565216,104,3,1,283,0.15217391304347827,164,3,1,363,0.07608695652173914,250,1,1,942,0.18478260869565216,250,2,1,1036,0.2391304347826087,250,2,1,1158,0.30434782608695654,
10010073,867,250,2,0.0,768,6,40,3,1,132,0.09154929577464789,226,2,1,523,0.176056338028169,250,3,1,561,0.19718309859154928,250,3,1,795,0.09154929577464789,250,1,1,915,0.19718309859154928,250,2,1,1131,0.24647887323943662,
10050108,401,223,1,0.0,506,6,15,2,1,28,0.07758620689655173,211,1,1,441,0.16379310344827586,206,2,1,511,0.14655172413793102,250,2,1,773,0.1206896551724138,250,1,1,1346,0.20689655172413793,250,0,0,2593,0.28448275862068967,
10050108,449,250,1,0.16666666666666666,871,6,1,1,0,7,0.020833333333333332,250,2,1,559,0.1388888888888889,250,2,1,709,0.2222222222222222,250,2,1,986,0.2013888888888889,250,1,1,1043,0.14583333333333334,250,0,0,2593,0.2708333333333333,
10050108,339,206,2,0.0,511,6,15,2,1,28,0.05172413793103448,7,3,1,33,0.04310344827586207,223,1,1,506,0.14655172413793102,250,2,1,773,0.3017241379310345,250,3,1,1172,0.1896551724137931,250,2,1,1365,0.2672413793103448,
10050108,359,250,2,0.16666666666666666,745,6,9,3,1,53,0.02054794520547945,1,1,0,198,0.0958904109589041,111,3,1,242,0.2054794520547945,211,1,1,441,0.1917808219178082,250,2,1,773,0.21232876712328766,250,2,1,1601,0.273972602739726,
10050108,400,250,2,0.3333333333333333,709,6,1,1,0,7,0.02857142857142857,1,1,0,198,0.15,250,1,1,871,0.22857142857142856,250,2,1,986,0.21428571428571427,250,3,1,1212,0.05,250,2,1,1601,0.32857142857142857,
10050108,455,250,2,0.16666666666666666,986,6,250,2,1,559,0.16265060240963855,250,3,2,601,0.0963855421686747,250,2,1,709,0.18072289156626506,250,1,1,871,0.1746987951807229,250,3,1,1212,0.12650602409638553,250,3,1,1531,0.25903614457831325,
10050108,502,250,2,0.0,559,6,54,3,1,147,0.10344827586206896,250,1,1,871,0.1724137931034483,250,2,1,949,0.1896551724137931,250,2,1,986,0.23275862068965517,250,1,1,1043,0.1724137931034483,250,3,1,1531,0.12931034482758622,
10050108,525,223,2,0.3333333333333333,551,6,69,3,2,189,0.07627118644067797,93,1,1,265,0.1440677966101695,202,2,1,403,0.0847457627118644,84,1,2,533,0.1694915254237288,250,2,1,824,0.23728813559322035,250,3,1,900,0.288135593220339,
10050108,537,202,2,0.16666666666666666,403,6,46,1,1,212,0.17708333333333334,93,1,1,265,0.11458333333333333,223,2,1,551,0.10416666666666667,250,3,1,900,0.17708333333333334,250,1,1,1043,0.1875,250,2,2,1400,0.23958333333333334,
10030019,674,250,1,0.16666666666666666,703,6,86,1,1,251,0.09558823529411764,176,2,2,569,0.1323529411764706,250,1,1,667,0.08088235294117647,250,2,1,889,0.17647058823529413,250,2,1,1005,0.20588235294117646,250,0,0,2885,0.3088235294117647,
10030019,624,250,2,0.0,889,6,167,3,1,394,0.11688311688311688,229,2,1,491,0.13636363636363635,250,1,1,667,0.22727272727272727,250,1,1,703,0.15584415584415584,250,3,1,958,0.18831168831168832,250,2,1,1005,0.17532467532467533,
10030019,676,250,2,0.16666666666666666,1056,6,29,1,1,140,0.09375,195,3,1,273,0.1375,169,2,1,427,0.14375,202,2,1,528,0.2,250,3,2,1129,0.1875,250,1,1,2049,0.2375,
10030019,746,250,2,0.3333333333333333,499,6,86,1,1,251,0.1388888888888889,104,3,1,362,0.16666666666666666,250,2,2,448,0.18518518518518517,188,1,1,527,0.16666666666666666,176,2,2,569,0.12962962962962962,250,3,1,1218,0.21296296296296297,
10030019,782,250,2,0.16666666666666666,779,6,48,2,1,143,0.06521739130434782,250,2,2,598,0.2246376811594203,250,3,1,634,0.16666666666666666,250,3,1,701,0.07246376811594203,250,3,1,1225,0.18115942028985507,250,1,1,2049,0.2898550724637681,
10030019,822,250,2,0.16666666666666666,788,6,1,2,1,6,0.027777777777777776,250,2,2,448,0.13194444444444445,250,3,1,533,0.2152777777777778,250,3,1,706,0.16666666666666666,250,1,1,943,0.2013888888888889,250,3,1,1436,0.2569444444444444,
10030019,828,250,2,0.16666666666666666,516,6,14,3,1,63,0.1,250,2,2,598,0.31666666666666665,250,2,1,635,0.15,250,3,1,1016,0.05,250,1,1,1277,0.225,250,1,1,2049,0.15833333333333333,
10030019,837,250,2,0.16666666666666666,646,6,1,2,1,6,0.015151515151515152,65,2,1,159,0.09848484848484848,250,3,1,533,0.09090909090909091,250,3,2,643,0.23484848484848486,250,1,1,943,0.30303030303030304,250,1,1,1277,0.25757575757575757,
10010087,631,169,1,0.16666666666666666,465,6,226,2,1,272,0.05555555555555555,193,1,1,425,0.037037037037037035,1,1,0,457,0.1388888888888889,250,2,1,1171,0.3055555555555556,250,2,1,1365,0.2222222222222222,250,0,0,2456,0.24074074074074073,
10010087,634,193,1,0.16666666666666666,425,6,50,1,1,243,0.16666666666666666,139,2,2,373,0.12962962962962962,208,2,1,452,0.07407407407407407,169,1,1,465,0.037037037037037035,250,2,1,1171,0.32407407407407407,250,0,0,2456,0.26851851851851855,
10010087,668,50,1,0.3333333333333333,243,6,1,2,1,1,0.023809523809523808,1,1,0,252,0.13095238095238096,139,2,2,373,0.2261904761904762,193,1,1,425,0.21428571428571427,250,2,1,570,0.16666666666666666,250,0,0,2456,0.23809523809523808,
10010087,597,208,2,0.16666666666666666,452,6,12,3,1,46,0.06862745098039216,235,3,1,351,0.20588235294117646,139,2,2,373,0.21568627450980393,193,1,1,425,0.0784313725490196,250,3,1,983,0.23529411764705882,250,2,1,1171,0.19607843137254902,
10010087,721,72,2,0.5,161,6,1,1,0,248,0.11764705882352941,1,1,0,252,0.04411764705882353,33,2,2,348,0.1323529411764706,196,3,1,410,0.07352941176470588,250,2,1,570,0.2647058823529412,250,3,1,904,0.36764705882352944,
10030026,878,150,1,0.16666666666666666,367,6,46,2,1,169,0.17647058823529413,250,2,1,385,0.1568627450980392,186,1,1,533,0.12745098039215685,84,1,2,690,0.13725490196078433,250,2,1,888,0.11764705882352941,250,0,0,2415,0.28431372549019607,
10030026,920,250,1,0.5,980,6,52,1,1,156,0.09876543209876543,54,1,2,167,0.14814814814814814,85,2,1,268,0.08024691358024691,250,2,2,1253,0.19753086419753085,250,2,2,1466,0.24074074074074073,250,0,0,2415,0.2345679012345679,
10030026,785,250,2,0.3333333333333333,419,6,250,3,2,394,0.17307692307692307,250,2,1,498,0.16346153846153846,250,3,1,517,0.14423076923076922,186,1,1,533,0.22115384615384615,250,2,1,888,0.08653846153846154,116,1,2,971,0.21153846153846154,
10050101,595,250,1,0.0,820,6,128,2,1,283,0.1346153846153846,212,2,1,418,0.12179487179487179,250,1,1,457,0.057692307692307696,186,1,1,524,0.15384615384615385,250,2,1,907,0.22435897435897437,250,0,0,2568,0.3076923076923077,
10050101,607,250,1,0.16666666666666666,457,6,32,1,1,86,0.11818181818181818,23,2,1,87,0.1,185,2,2,347,0.2,212,2,1,418,0.21818181818181817,250,1,1,820,0.08181818181818182,250,0,0,2568,0.2818181818181818,
10050101,580,212,2,0.0,418,6,23,2,1,87,0.07407407407407407,128,2,1,283,0.12962962962962962,125,3,1,385,0.16666666666666666,250,1,1,457,0.2222222222222222,250,1,1,820,0.17592592592592593,250,3,1,1544,0.23148148148148148,
10050101,620,119,2,0.16666666666666666,386,6,32,1,1,86,0.038461538461538464,185,2,2,347,0.22115384615384615,159,2,1,396,0.21153846153846154,250,1,1,411,0.17307692307692307,250,3,1,868,0.07692307692307693,250,3,1,1400,0.27884615384615385,
10050101,627,250,2,0.0,906,6,160,3,1,248,0.1346153846153846,250,2,1,362,0.14743589743589744,207,2,1,423,0.1794871794871795,236,3,1,658,0.1346153846153846,250,1,1,869,0.15384615384615385,250,3,1,2197,0.25,
10050101,784,250,2,0.0,661,6,38,2,1,116,0.09701492537313433,250,3,1,317,0.16417910447761194,250,3,1,479,0.2537313432835821,250,3,1,908,0.11940298507462686,250,1,1,1028,0.1791044776119403,250,2,1,1501,0.1865671641791045,
10010080,951,250,1,0.0,770,6,124,1,1,278,0.1044776119402985,118,2,1,284,0.1417910447761194,144,1,1,468,0.1417910447761194,250,2,1,1214,0.208955223880597,250,2,1,1595,0.15671641791044777,250,0,0,2512,0.2462686567164179,
10010080,998,144,1,0.0,468,6,15,2,1,94,0.10909090909090909,32,1,1,163,0.07272727272727272,250,2,1,599,0.23636363636363636,250,1,1,770,0.17272727272727273,250,2,1,1595,0.12727272727272726,250,0,0,2512,0.2818181818181818,
10010080,933,118,2,0.0,284,6,57,2,1,231,0.12222222222222222,76,3,1,266,0.08888888888888889,124,1,1,278,0.23333333333333334,250,1,1,770,0.2111111111111111,250,2,1,1214,0.07777777777777778,250,3,1,1404,0.26666666666666666,
10010080,1054,142,2,0.0,455,6,6,2,1,36,0.034482758620689655,77,3,1,228,0.1206896551724138,225,1,1,422,0.21551724137931033,250,2,1,776,0.08620689655172414,250,3,1,1187,0.2672413793103448,250,1,1,1754,0.27586206896551724,
10010080,1127,250,2,0.0,680,6,61,2,1,127,0.04411764705882353,58,3,1,227,0.13970588235294118,203,1,1,461,0.13970588235294118,250,2,1,601,0.19852941176470587,250,3,1,661,0.21323529411764705,250,1,1,1754,0.2647058823529412,
10010080,1147,250,2,0.0,597,6,61,2,1,127,0.08064516129032258,93,3,1,157,0.12903225806451613,250,3,1,644,0.1935483870967742,250,3,1,657,0.1774193548387097,250,2,1,776,0.22580645161290322,250,1,1,1754,0.1935483870967742,
10030010,1611,243,1,0.0,594,6,3,1,0,25,0.03731343283582089,47,1,1,159,0.12686567164179105,202,2,1,532,0.11194029850746269,250,2,1,1349,0.2537313432835821,250,2,1,1649,0.3208955223880597,250,0,0,2832,0.14925373134328357,
10030010,1519,197,2,0.0,492,6,107,2,1,297,0.21428571428571427,160,3,1,355,0.08928571428571429,250,2,1,515,0.16964285714285715,250,1,1,882,0.21428571428571427,250,1,1,980,0.0625,250,3,1,1073,0.25,
10030010,1576,250,2,0.0,353,6,107,2,1,297,0.125,184,2,1,465,0.19791666666666666,222,3,1,704,0.28125,250,3,1,815,0.13541666666666666,250,1,1,980,0.13541666666666666,250,3,1,1527,0.125,
10030010,1588,184,2,0.0,465,6,5,2,1,27,0.05454545454545454,250,2,1,353,0.17272727272727273,250,2,1,720,0.02727272727272727,250,1,1,774,0.16363636363636364,250,3,1,815,0.2818181818181818,250,1,1,980,0.3,
10030010,1726,209,2,0.0,525,6,225,3,1,343,0.15178571428571427,187,2,1,394,0.125,250,3,1,484,0.10714285714285714,250,2,1,672,0.10714285714285714,250,3,1,682,0.24107142857142858,250,1,1,823,0.26785714285714285,
10050139,549,54,1,0.5,279,6,1,1,0,77,0.08139534883720931,36,2,1,105,0.10465116279069768,2,1,0,651,0.29069767441860467,250,2,1,693,0.26744186046511625,250,2,2,756,0.1744186046511628,250,0,0,2526,0.08139534883720931,
10050139,397,250,2,0.16666666666666666,918,6,3,1,0,275,0.13815789473684212,150,1,1,467,0.15789473684210525,250,1,1,711,0.09210526315789473,250,3,1,883,0.27631578947368424,250,2,1,1078,0.17105263157894737,250,2,1,1558,0.16447368421052633,
10030028,1395,250,2,0.8333333333333334,1001,6,18,2,1,74,0.08860759493670886,247,3,2,701,0.1962025316455696,250,3,2,842,0.13924050632911392,226,2,2,853,0.1962025316455696,8,1,0,1302,0.20253164556962025,22,1,2,1718,0.17721518987341772,
10030028,1424,250,2,0.8333333333333334,643,6,17,3,2,78,0.07377049180327869,250,3,1,403,0.22131147540983606,22,2,2,549,0.19672131147540983,250,3,2,741,0.21311475409836064,226,2,2,853,0.20491803278688525,22,1,2,1718,0.09016393442622951,
10030028,1541,250,2,0.5,1303,6,77,3,1,229,0.09195402298850575,114,3,2,336,0.14942528735632185,1,1,0,791,0.21264367816091953,250,2,1,944,0.14942528735632185,250,3,1,1425,0.16091954022988506,165,2,2,1528,0.23563218390804597,
10010074,106,250,1,0.16666666666666666,538,6,43,1,1,221,0.11016949152542373,164,2,2,280,0.1440677966101695,143,2,1,402,0.1694915254237288,250,1,1,615,0.1864406779661017,250,2,1,1098,0.1694915254237288,250,0,0,2532,0.22033898305084745,
10010074,208,166,1,0.0,366,6,121,1,1,329,0.12244897959183673,125,2,1,389,0.02040816326530612,250,2,1,442,0.02040816326530612,250,2,1,678,0.336734693877551,250,1,1,1210,0.24489795918367346,250,0,0,2532,0.25510204081632654,
10010074,238,121,1,0.0,329,6,8,1,0,33,0.052083333333333336,140,2,1,304,0.22916666666666666,166,1,1,366,0.125,250,2,1,678,0.16666666666666666,250,2,1,1115,0.21875,250,0,0,2532,0.20833333333333334,
10010074,253,190,1,0.0,489,6,8,1,0,33,0.043859649122807015,42,2,1,147,0.07017543859649122,125,1,1,350,0.14035087719298245,250,2,1,875,0.21052631578947367,250,2,1,1115,0.2543859649122807,250,0,0,2532,0.2807017543859649,
10010074,63,216,2,0.16666666666666666,334,6,79,2,1,159,0.1511627906976744,62,3,1,171,0.1744186046511628,164,2,2,280,0.18604651162790697,163,3,1,377,0.18604651162790697,250,1,1,615,0.11627906976744186,250,3,1,740,0.18604651162790697,
10010074,72,250,2,0.16666666666666666,664,6,47,2,2,131,0.16666666666666666,250,3,1,724,0.17424242424242425,250,3,1,825,0.2878787878787879,250,3,1,1023,0.19696969696969696,250,2,1,1098,0.10606060606060606,250,1,1,1210,0.06818181818181818,
10010074,138,250,2,0.16666666666666666,442,6,7,3,1,37,0.05454545454545454,42,2,2,176,0.14545454545454545,166,1,1,366,0.01818181818181818,125,2,1,389,0.20909090909090908,250,3,1,1057,0.17272727272727273,250,1,1,1210,0.4,
10010074,172,125,2,0.0,389,6,7,3,1,37,0.10576923076923077,7,3,1,41,0.125,166,1,1,366,0.019230769230769232,250,2,1,442,0.22115384615384615,250,2,1,678,0.3173076923076923,250,3,1,963,0.21153846153846154,
10010074,227,250,2,0.0,678,6,140,2,1,304,0.09701492537313433,121,1,1,329,0.11940298507462686,166,1,1,366,0.2462686567164179,125,2,1,389,0.2462686567164179,250,3,1,694,0.11194029850746269,250,3,1,963,0.1791044776119403,
10030017,1383,250,1,0.16666666666666666,735,6,250,2,2,434,0.1323529411764706,250,2,1,653,0.21323529411764705,250,2,1,977,0.0661764705882353,250,1,1,1215,0.3014705882352941,250,1,1,1444,0.21323529411764705,250,0,0,2468,0.07352941176470588,
10030017,1481,62,1,0.3333333333333333,337,6,12,2,2,199,0.07446808510638298,66,1,1,323,0.02127659574468085,9,1,0,428,0.2127659574468085,241,2,1,620,0.1276595744680851,250,2,1,1032,0.30851063829787234,250,0,0,2468,0.2553191489361702,
10030017,1338,250,2,0.3333333333333333,653,6,161,3,1,254,0.08333333333333333,138,3,2,282,0.1590909090909091,250,2,2,434,0.10606060606060606,250,1,1,735,0.2196969696969697,250,3,1,810,0.23484848484848486,250,2,1,977,0.19696969696969696,
10030017,1393,156,2,0.16666666666666666,307,6,70,1,1,168,0.125,90,3,1,310,0.20454545454545456,250,2,1,419,0.19318181818181818,250,3,2,541,0.045454545454545456,250,2,1,1060,0.17045454545454544,250,1,1,1444,0.26136363636363635,
10030017,1414,250,2,0.16666666666666666,419,6,70,1,1,168,0.125,156,2,1,307,0.17708333333333334,90,3,1,310,0.22916666666666666,66,1,1,323,0.13541666666666666,92,3,2,326,0.19791666666666666,250,2,1,1032,0.13541666666666666,
10030017,1510,235,2,0.3333333333333333,644,6,124,3,2,181,0.08870967741935484,96,2,2,262,0.11290322580645161,119,3,1,282,0.12903225806451613,250,3,1,800,0.20161290322580644,250,1,1,1250,0.18548387096774194,250,2,1,1728,0.28225806451612906,
10030017,1579,215,2,0.3333333333333333,507,6,16,3,2,84,0.05,137,2,1,323,0.18333333333333332,85,2,2,523,0.09166666666666666,163,1,1,542,0.18333333333333332,250,3,1,1519,0.3,250,2,1,1728,0.19166666666666668,
10050106,1334,250,1,0.0,848,6,73,2,1,173,0.08333333333333333,73,2,1,265,0.2013888888888889,134,1,1,325,0.13194444444444445,250,2,1,653,0.125,250,1,1,1222,0.22916666666666666,250,0,0,2408,0.22916666666666666,
10050106,1359,250,1,0.0,743,6,188,2,1,234,0.09333333333333334,250,1,1,578,0.06666666666666667,250,2,1,882,0.30666666666666664,250,2,1,915,0.15333333333333332,250,1,1,1045,0.19333333333333333,250,0,0,2408,0.18666666666666668,
10050106,1406,250,1,0.0,1045,6,34,1,1,183,0.11764705882352941,113,2,1,305,0.12352941176470589,250,1,1,743,0.17058823529411765,250,2,1,915,0.22941176470588234,250,2,1,1048,0.18823529411764706,250,0,0,2408,0.17058823529411765,
10050106,1203,250,2,0.0,504,6,20,3,1,108,0.15454545454545454,90,3,1,170,0.12727272727272726,72,2,1,263,0.09090909090909091,250,3,1,487,0.22727272727272727,250,2,1,787,0.12727272727272726,250,1,1,1157,0.2727272727272727,
10050106,1206,72,2,0.0,263,6,20,3,1,108,0.13414634146341464,74,2,1,217,0.2682926829268293,250,2,1,504,0.12195121951219512,250,3,1,729,0.10975609756097561,250,1,1,1157,0.2073170731707317,250,3,1,1178,0.15853658536585366,
10050106,1274,166,2,0.0,448,6,74,2,1,217,0.14423076923076922,98,1,1,231,0.18269230769230768,61,1,1,239,0.19230769230769232,60,3,1,300,0.09615384615384616,250,2,1,847,0.20192307692307693,250,1,1,1157,0.18269230769230768,
10050106,1317,250,2,0.16666666666666666,418,6,17,2,1,62,0.09,94,3,2,145,0.12,219,3,1,487,0.22,250,3,1,487,0.15,250,1,1,578,0.16,250,2,1,882,0.26,
10050106,1318,250,2,0.0,653,6,73,2,1,265,0.08333333333333333,199,3,1,337,0.06818181818181818,250,3,1,680,0.25757575757575757,250,1,1,848,0.13636363636363635,250,2,1,880,0.2196969696969697,250,1,1,1222,0.23484848484848486,
10050106,1347,250,2,0.16666666666666666,882,6,94,3,2,145,0.1038961038961039,188,2,1,234,0.01948051948051948,250,2,1,418,0.16883116883116883,250,1,1,578,0.16883116883116883,250,3,1,728,0.24025974025974026,250,1,1,743,0.2987012987012987,
